"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 17 16:48:52 GMT 2024","Mon Jun 17 16:48:54 GMT 2024","2599","CrossBrowser Test Suite","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Mon Jun 17 16:49:02 GMT 2024","Mon Jun 17 16:49:05 GMT 2024","3628","CrossBrowser Test Suite","ChromeTest","com.luma.test.ProductPageTest","com.luma.test.ProductPageTest","testProduct","TC-02 Testing 1 Product","TC-02 Testing 1 Product"
"passed","Mon Jun 17 16:48:57 GMT 2024","Mon Jun 17 16:48:59 GMT 2024","2250","CrossBrowser Test Suite","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Mon Jun 17 16:48:49 GMT 2024","Mon Jun 17 16:48:51 GMT 2024","2291","CrossBrowser Test Suite","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Mon Jun 17 16:49:00 GMT 2024","Mon Jun 17 16:49:01 GMT 2024","1775","CrossBrowser Test Suite","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Mon Jun 17 16:49:05 GMT 2024","Mon Jun 17 16:49:05 GMT 2024","0","CrossBrowser Test Suite","ChromeTest","FrameworkTest","FrameworkTest","testPass","testPass",""
"passed","Mon Jun 17 16:48:47 GMT 2024","Mon Jun 17 16:48:49 GMT 2024","2289","CrossBrowser Test Suite","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Mon Jun 17 16:48:54 GMT 2024","Mon Jun 17 16:48:57 GMT 2024","2380","CrossBrowser Test Suite","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
