"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 21 02:55:51 GMT 2024","Fri Jun 21 02:55:52 GMT 2024","1023","CrossBrowser","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Fri Jun 21 02:55:59 GMT 2024","Fri Jun 21 02:56:00 GMT 2024","1671","CrossBrowser","FirefoxTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 02:55:45 GMT 2024","Fri Jun 21 02:55:46 GMT 2024","1719","CrossBrowser","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 02:55:51 GMT 2024","Fri Jun 21 02:55:53 GMT 2024","1215","CrossBrowser","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Fri Jun 21 02:55:49 GMT 2024","Fri Jun 21 02:55:51 GMT 2024","1903","CrossBrowser","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 02:55:47 GMT 2024","Fri Jun 21 02:55:50 GMT 2024","2938","CrossBrowser","FirefoxTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 02:55:38 GMT 2024","Fri Jun 21 02:55:42 GMT 2024","4209","CrossBrowser","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 02:55:43 GMT 2024","Fri Jun 21 02:55:44 GMT 2024","1640","CrossBrowser","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 02:55:45 GMT 2024","Fri Jun 21 02:55:47 GMT 2024","1770","CrossBrowser","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 02:55:21 GMT 2024","Fri Jun 21 02:55:21 GMT 2024","11","Surefire suite","Surefire test","FrameworkTest","FrameworkTest","testPass","testPass",""
"passed","Fri Jun 21 02:55:53 GMT 2024","Fri Jun 21 02:55:57 GMT 2024","4295","CrossBrowser","ChromeTest","com.luma.test.ProductPageTest","com.luma.test.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Fri Jun 21 02:56:06 GMT 2024","Fri Jun 21 02:56:08 GMT 2024","1654","CrossBrowser","FirefoxTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 02:56:13 GMT 2024","Fri Jun 21 02:56:17 GMT 2024","3950","CrossBrowser","FirefoxTest","com.luma.test.ProductPageTest","com.luma.test.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Fri Jun 21 02:55:53 GMT 2024","Fri Jun 21 02:55:57 GMT 2024","4213","CrossBrowser","ChromiumTest","com.luma.test.ProductPageTest","com.luma.test.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Fri Jun 21 02:56:03 GMT 2024","Fri Jun 21 02:56:04 GMT 2024","1675","CrossBrowser","FirefoxTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 02:55:47 GMT 2024","Fri Jun 21 02:55:49 GMT 2024","2159","CrossBrowser","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 02:55:49 GMT 2024","Fri Jun 21 02:55:51 GMT 2024","2216","CrossBrowser","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 02:55:38 GMT 2024","Fri Jun 21 02:55:42 GMT 2024","4196","CrossBrowser","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 02:55:43 GMT 2024","Fri Jun 21 02:55:44 GMT 2024","1755","CrossBrowser","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 02:55:54 GMT 2024","Fri Jun 21 02:55:56 GMT 2024","2036","CrossBrowser","FirefoxTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 02:55:47 GMT 2024","Fri Jun 21 02:55:49 GMT 2024","1816","CrossBrowser","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 02:56:10 GMT 2024","Fri Jun 21 02:56:11 GMT 2024","1074","CrossBrowser","FirefoxTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
