"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 17 17:33:15 GMT 2024","Mon Jun 17 17:33:15 GMT 2024","1","CrossBrowser Test Suite","ChromeTest","FrameworkTest","FrameworkTest","testPass","testPass",""
"passed","Mon Jun 17 17:33:10 GMT 2024","Mon Jun 17 17:33:15 GMT 2024","4250","CrossBrowser Test Suite","ChromeTest","com.luma.test.ProductPageTest","com.luma.test.ProductPageTest","testProduct","TC-02 Testing 1 Product","TC-02 Testing 1 Product"
"passed","Mon Jun 17 17:33:01 GMT 2024","Mon Jun 17 17:33:04 GMT 2024","2125","CrossBrowser Test Suite","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Mon Jun 17 17:33:06 GMT 2024","Mon Jun 17 17:33:08 GMT 2024","2501","CrossBrowser Test Suite","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Mon Jun 17 17:33:14 GMT 2024","Mon Jun 17 17:33:14 GMT 2024","0","CrossBrowser Test Suite","ChromiumTest","FrameworkTest","FrameworkTest","testPass","testPass",""
"passed","Mon Jun 17 17:33:08 GMT 2024","Mon Jun 17 17:33:09 GMT 2024","1438","CrossBrowser Test Suite","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Mon Jun 17 17:33:09 GMT 2024","Mon Jun 17 17:33:14 GMT 2024","4420","CrossBrowser Test Suite","ChromiumTest","com.luma.test.ProductPageTest","com.luma.test.ProductPageTest","testProduct","TC-02 Testing 1 Product","TC-02 Testing 1 Product"
"passed","Mon Jun 17 17:33:01 GMT 2024","Mon Jun 17 17:33:03 GMT 2024","1998","CrossBrowser Test Suite","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Mon Jun 17 17:33:03 GMT 2024","Mon Jun 17 17:33:05 GMT 2024","2057","CrossBrowser Test Suite","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Mon Jun 17 17:33:06 GMT 2024","Mon Jun 17 17:33:08 GMT 2024","2007","CrossBrowser Test Suite","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Mon Jun 17 17:33:04 GMT 2024","Mon Jun 17 17:33:06 GMT 2024","1962","CrossBrowser Test Suite","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Mon Jun 17 17:32:59 GMT 2024","Mon Jun 17 17:33:01 GMT 2024","2000","CrossBrowser Test Suite","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Mon Jun 17 17:32:59 GMT 2024","Mon Jun 17 17:33:01 GMT 2024","2069","CrossBrowser Test Suite","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Mon Jun 17 17:33:09 GMT 2024","Mon Jun 17 17:33:10 GMT 2024","1349","CrossBrowser Test Suite","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Mon Jun 17 17:32:57 GMT 2024","Mon Jun 17 17:32:59 GMT 2024","2173","CrossBrowser Test Suite","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Mon Jun 17 17:32:57 GMT 2024","Mon Jun 17 17:32:58 GMT 2024","1902","CrossBrowser Test Suite","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
