"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 16 03:22:49 GMT 2024","Sun Jun 16 03:22:50 GMT 2024","1506","CrossBrowser Test Suite","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sun Jun 16 03:22:52 GMT 2024","Sun Jun 16 03:22:52 GMT 2024","0","CrossBrowser Test Suite","ChromeTest","FrameworkTest","FrameworkTest","testPass","testPass",""
"passed","Sun Jun 16 03:22:42 GMT 2024","Sun Jun 16 03:22:44 GMT 2024","1362","CrossBrowser Test Suite","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sun Jun 16 03:22:42 GMT 2024","Sun Jun 16 03:22:44 GMT 2024","1551","CrossBrowser Test Suite","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sun Jun 16 03:22:51 GMT 2024","Sun Jun 16 03:22:52 GMT 2024","965","CrossBrowser Test Suite","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Sun Jun 16 03:22:46 GMT 2024","Sun Jun 16 03:22:47 GMT 2024","1345","CrossBrowser Test Suite","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sun Jun 16 03:22:44 GMT 2024","Sun Jun 16 03:22:46 GMT 2024","1561","CrossBrowser Test Suite","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sun Jun 16 03:22:51 GMT 2024","Sun Jun 16 03:22:52 GMT 2024","1111","CrossBrowser Test Suite","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Sun Jun 16 03:22:49 GMT 2024","Sun Jun 16 03:22:51 GMT 2024","1532","CrossBrowser Test Suite","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sun Jun 16 03:22:44 GMT 2024","Sun Jun 16 03:22:45 GMT 2024","1313","CrossBrowser Test Suite","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sun Jun 16 03:22:47 GMT 2024","Sun Jun 16 03:22:49 GMT 2024","1659","CrossBrowser Test Suite","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sun Jun 16 03:22:45 GMT 2024","Sun Jun 16 03:22:47 GMT 2024","1424","CrossBrowser Test Suite","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sun Jun 16 03:22:47 GMT 2024","Sun Jun 16 03:22:49 GMT 2024","1638","CrossBrowser Test Suite","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
