"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 21 03:09:42 GMT 2024","Fri Jun 21 03:09:44 GMT 2024","1999","CrossBrowser","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 03:09:42 GMT 2024","Fri Jun 21 03:09:44 GMT 2024","1884","CrossBrowser","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 03:09:50 GMT 2024","Fri Jun 21 03:09:51 GMT 2024","824","CrossBrowser","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Fri Jun 21 03:09:48 GMT 2024","Fri Jun 21 03:09:50 GMT 2024","1426","CrossBrowser","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 03:09:46 GMT 2024","Fri Jun 21 03:09:48 GMT 2024","1641","CrossBrowser","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 03:10:12 GMT 2024","Fri Jun 21 03:10:14 GMT 2024","1643","CrossBrowser","FirefoxTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 03:09:44 GMT 2024","Fri Jun 21 03:09:46 GMT 2024","2023","CrossBrowser","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 03:10:16 GMT 2024","Fri Jun 21 03:10:17 GMT 2024","969","CrossBrowser","FirefoxTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Fri Jun 21 03:09:33 GMT 2024","Fri Jun 21 03:09:33 GMT 2024","12","Surefire suite","Surefire test","FrameworkTest","FrameworkTest","testPass","testPass",""
"passed","Fri Jun 21 03:09:50 GMT 2024","Fri Jun 21 03:09:51 GMT 2024","1038","CrossBrowser","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Fri Jun 21 03:09:52 GMT 2024","Fri Jun 21 03:09:56 GMT 2024","3765","CrossBrowser","ChromiumTest","com.luma.test.ProductPageTest","com.luma.test.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Fri Jun 21 03:09:39 GMT 2024","Fri Jun 21 03:09:42 GMT 2024","2168","CrossBrowser","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 03:09:44 GMT 2024","Fri Jun 21 03:09:46 GMT 2024","2113","CrossBrowser","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 03:10:04 GMT 2024","Fri Jun 21 03:10:06 GMT 2024","1626","CrossBrowser","FirefoxTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 03:09:46 GMT 2024","Fri Jun 21 03:09:48 GMT 2024","1860","CrossBrowser","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 03:10:01 GMT 2024","Fri Jun 21 03:10:02 GMT 2024","1733","CrossBrowser","FirefoxTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 03:10:08 GMT 2024","Fri Jun 21 03:10:10 GMT 2024","1591","CrossBrowser","FirefoxTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 03:09:39 GMT 2024","Fri Jun 21 03:09:41 GMT 2024","2081","CrossBrowser","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 03:09:51 GMT 2024","Fri Jun 21 03:09:56 GMT 2024","4451","CrossBrowser","ChromeTest","com.luma.test.ProductPageTest","com.luma.test.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Fri Jun 21 03:09:48 GMT 2024","Fri Jun 21 03:09:50 GMT 2024","1817","CrossBrowser","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 03:09:56 GMT 2024","Fri Jun 21 03:09:58 GMT 2024","2120","CrossBrowser","FirefoxTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 21 03:10:19 GMT 2024","Fri Jun 21 03:10:23 GMT 2024","4187","CrossBrowser","FirefoxTest","com.luma.test.ProductPageTest","com.luma.test.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
